0,1,2,3,4,5,6,7,8,9,10,11
6344,0,35,0,1,57,0,0,0,0,194,92
45,2,1,0,0,6,0,0,0,0,0,6
80,0,102,0,0,3,0,0,0,0,3,8
12,0,2,2,0,0,0,0,0,0,0,0
49,0,5,0,1,0,0,0,0,0,2,4
291,0,0,0,0,448,0,0,0,0,5,28
4,0,0,0,0,3,2,0,0,0,0,2
17,0,0,0,0,0,0,0,0,0,2,2
8,0,2,0,0,0,0,0,0,0,1,5
7,0,3,0,0,1,0,0,0,0,1,1
1198,0,10,0,0,11,0,0,0,0,302,30
220,0,10,0,0,31,1,0,0,0,8,328
