0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,5978,7,0,0,0,0,27,0,0,1,1,51,1,0,0,0,180,0,0,0,0,82
0,318,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,33,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1
0,44,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,11
0,101,0,0,0,0,0,98,0,0,0,0,1,0,0,0,0,3,0,0,0,0,6
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,45,1,0,0,0,0,3,0,0,1,0,1,0,0,0,0,2,0,0,0,0,2
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,309,0,0,0,0,0,0,0,0,0,0,449,0,0,0,0,4,0,0,0,0,24
0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
0,3,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,1,0,0,0,0,4
0,1007,3,0,0,0,0,10,0,0,0,0,8,0,0,0,0,244,0,0,0,0,25
0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
0,48,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,64,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0
0,218,0,0,0,0,0,16,0,0,0,0,29,1,0,0,0,5,0,0,0,0,327
